"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"North Sydney","New South Wales","health_care_card",3563
"Page","New South Wales","health_care_card",11710
"Parkes","New South Wales","health_care_card",11142
"Parramatta","New South Wales","health_care_card",12762
"Paterson","New South Wales","health_care_card",8483
"Reid","New South Wales","health_care_card",10269
"Richmond","New South Wales","health_care_card",11739
"Riverina","New South Wales","health_care_card",9140
"Robertson","New South Wales","health_care_card",8061
"Shortland","New South Wales","health_care_card",7898
"Sydney","New South Wales","health_care_card",7173
"Throsby","New South Wales","health_care_card",8579
"Warringah","New South Wales","health_care_card",3242
"Watson","New South Wales","health_care_card",14757
"Wentworth","New South Wales","health_care_card",4542
"Werriwa","New South Wales","health_care_card",12489
"Aston","Victoria","health_care_card",8870
"Ballarat","Victoria","health_care_card",12959
"Batman","Victoria","health_care_card",11893
"Bendigo","Victoria","health_care_card",12021
"Bruce","Victoria","health_care_card",13135
"Calwell","Victoria","health_care_card",17145
"Casey","Victoria","health_care_card",8850
"Chisholm","Victoria","health_care_card",9504
"Corangamite","Victoria","health_care_card",10091
"Corio","Victoria","health_care_card",12681
"Deakin","Victoria","health_care_card",8930
"Dunkley","Victoria","health_care_card",10032
"Flinders","Victoria","health_care_card",9436
"Gellibrand","Victoria","health_care_card",13321
"Gippsland","Victoria","health_care_card",11755
"Goldstein","Victoria","health_care_card",5242
"Gorton","Victoria","health_care_card",16494
"Higgins","Victoria","health_care_card",5920
"Holt","Victoria","health_care_card",16523
"Hotham","Victoria","health_care_card",9986
"Indi","Victoria","health_care_card",9114
"Isaacs","Victoria","health_care_card",10458
"Jagajaga","Victoria","health_care_card",8085
"Kooyong","Victoria","health_care_card",5607
"La Trobe","Victoria","health_care_card",9330
"Lalor","Victoria","health_care_card",17487
"Mallee","Victoria","health_care_card",11107
"Maribyrnong","Victoria","health_care_card",13583
"McEwen","Victoria","health_care_card",12736
"McMillan","Victoria","health_care_card",11891
"Melbourne","Victoria","health_care_card",12463
"Melbourne Ports","Victoria","health_care_card",6935
"Menzies","Victoria","health_care_card",7430
"Murray","Victoria","health_care_card",11092
"Scullin","Victoria","health_care_card",12852
"Wannon","Victoria","health_care_card",10651
"Wills","Victoria","health_care_card",12483
"Blair","Queensland","health_care_card",11350
"Bonner","Queensland","health_care_card",7197
"Bowman","Queensland","health_care_card",7375
"Brisbane","Queensland","health_care_card",6796
"Capricornia","Queensland","health_care_card",7920
"Dawson","Queensland","health_care_card",8326
"Dickson","Queensland","health_care_card",7325
"Fadden","Queensland","health_care_card",11065
"Fairfax","Queensland","health_care_card",9414
"Fisher","Queensland","health_care_card",9253
"Flynn","Queensland","health_care_card",8490
"Forde","Queensland","health_care_card",11356
"Griffith","Queensland","health_care_card",7408
"Groom","Queensland","health_care_card",8045
"Herbert","Queensland","health_care_card",11517
"Hinkler","Queensland","health_care_card",11954
"Kennedy","Queensland","health_care_card",12964
"Leichhardt","Queensland","health_care_card",16597
"Lilley","Queensland","health_care_card",7739
"Longman","Queensland","health_care_card",11954
"Maranoa","Queensland","health_care_card",9493
"McPherson","Queensland","health_care_card",10240
"Moncrieff","Queensland","health_care_card",11741
"Moreton","Queensland","health_care_card",9836
"Oxley","Queensland","health_care_card",11482
"Petrie","Queensland","health_care_card",9754
"Rankin","Queensland","health_care_card",15042
"Ryan","Queensland","health_care_card",6638
"Wide Bay","Queensland","health_care_card",11488
"Wright","Queensland","health_care_card",9124
