"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[3,3] Full AMST",13497.6617011267,10226.45,4424.57632807144,14059.1,0.95,8.7294,36802.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,3] Endow AMST",13455.3078862667,10304.8,4061.56915480291,15000,0.95,8.7294,36539.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,3] Disting AMST",13472.9304455867,10369.5,3840.78274637482,15000,0.95,8.7294,36711.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,4] Assis ANTH",12312.6915645827,10012.1,6427.78727005269,7351.1,0.95,8.7294,30826.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,4] Assoc ANTH",5092.37073133333,4797.905,4410.51003143701,11692.5,0.95,2405.56,8444.81,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,4] Full ANTH",19239.7947693333,18271.85,15817.8034232582,8779.1,0.95,9253.56,31819.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,4] Endow ANTH",12094.5173757533,9708.575,4970.78666605283,6732.8,0.95,8.7294,31071.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,4] Disting ANTH",13341.7089355467,10282.6,4019.21514184641,14582.8,0.95,8.7294,36246.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,5] Assis APHS",2273.8968404,1908.69,1508.97131125022,7882,0.95,597.685,4890.29,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,5] Assoc APHS",6262.50360933333,5890.495,5594.88653588542,13348.8,0.95,2992.34,10370.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,5] Full APHS",29721.124234,28100.6,25520.6290891031,12820.5,0.95,12728.3,50862,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,5] Endow APHS",13626.6918033533,10230.7,3770.32346365027,15000,0.95,8.7294,37322.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,5] Disting APHS",13486.90065406,10266,4086.60962454924,15000,0.95,8.7294,37105.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,6] Assis AST",9002.95131051333,6615.235,2565.29092677683,8246.6,0.95,10.0448,25733,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,6] Assoc AST",3401.86128947333,1522.6,346.708732290952,3049,0.95,11.8333,13144.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,6] Full AST",20892.834432,19183.75,15832.0304766471,12696.7,0.95,7430.93,37936.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,6] Endow AST",35215.3825706667,32898.95,28691.3832841851,10966.3,0.95,10894.4,64175.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,6] Disting AST",13504.2670275467,10143.85,4194.28724575745,15000,0.95,8.7294,36845.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,7] Assis BEPP",187.122286070667,13.16925,0.085519710628251,209.7,0.95,8.7294,402.122,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,7] Assoc BEPP",10432.1808673333,9228.64,7784.94306305124,1769,0.95,3316.31,20431.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,7] Full BEPP",13489.2320547467,10186.65,3937.62461759252,15000,0.95,8.7294,37207.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,7] Endow BEPP",29893.9034426667,27914.5,24282.248741135,11645.1,0.95,10479.7,53809.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,7] Disting BEPP",13539.6827109933,10108.5,3982.27909679507,15000,0.95,8.7294,37286.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,8] Assis BFIN",7890.41865333333,7204.415,6275.10355201104,10860.1,0.95,3095.94,14422.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,8] Assoc BFIN",13325.7549986667,12600.4,11854.4468332522,11730.2,0.95,6015.58,22221.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,8] Full BFIN",32129.6229153333,30270.5,28838.5035854363,12641,0.95,13023,53505.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,8] Endow BFIN",23069.0886326667,21277.8,17778.3311527192,11097.7,0.95,6248.62,43548.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,8] Disting BFIN",13490.5383362533,10238.55,3919.2371187551,15000,0.95,8.7294,36791.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,9] Assis BI",483.1746444,449.748,395.079678127585,10555.1,0.95,194.852,851.423,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,9] Assoc BI",12682.491184,12377.5,11930.1989375514,11958.1,0.95,7859.91,18218.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,9] Full BI",18714.913668,18103.25,17461.817353411,13604.6,0.95,10535.9,27663.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,9] Endow BI",10299.3085517,7804.175,3127.28226582446,6260.1,0.95,8.7294,27993.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,9] Disting BI",31082.385416,29865.05,28981.7694670478,11204.8,0.95,16391.8,48759.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,10] Assis BLAN",10632.7072175333,9150.31,6751.59300919802,9336.6,0.95,2402.85,22217.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,10] Assoc BLAN",7490.1815466,5731.815,3449.70441651041,9171.3,0.95,944.614,19474.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,10] Full BLAN",8859.58397604,6520.845,2536.82602883787,7975.9,0.95,8.7294,25134.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,10] Endow BLAN",12669.9737711867,10232.65,7295.38876825208,8213.5,0.95,10.9706,32120.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,10] Disting BLAN",13365.9287106087,10069.95,3970.23623355238,15000,0.95,9.07003,36811.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,11] Assis CEDP",7493.59602466667,6970.195,6173.22186271676,11947.9,0.95,3322.11,12991.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,11] Assoc CEDP",5372.49921266667,5101.705,4658.5037790047,16203.1,0.95,2705.33,8721.69,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,11] Full CEDP",13061.2588853333,12342.15,11265.6593178206,13726.3,0.95,6764.14,21278.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,11] Endow CEDP",13429.4118596,10122.55,3756.0856618616,14610.7,0.95,8.7294,36605.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,11] Disting CEDP",13555.5359435,10179.75,3581.73913799892,14516.5,0.95,29.7546,36987,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,12] Assis CEUS",9659.82769196,7170.44,2794.76651456086,8912.8,0.95,8.7294,26982.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,12] Assoc CEUS",15582.3159373333,14314.35,11914.0823468922,13071.7,0.95,6250.27,28339.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,12] Full CEUS",19596.5800886667,18396.55,17093.0386244673,13584.4,0.95,8458.85,33370.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,12] Endow CEUS",30475.344108,28073.5,23784.780407812,11534,0.95,8859.43,57088.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,12] Disting CEUS",13399.22236534,10124.1,3927.91385769277,15000,0.95,12.472,36391.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,13] Assis CHEM",4192.95972826667,3939.225,3680.07359921682,11742.4,0.95,1835.38,7139.03,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,13] Assoc CHEM",15244.5703053333,14453.75,13063.4937180633,13560.3,0.95,8028.61,24787.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,13] Full CHEM",30119.85996,28999.45,27211.2919530459,8333.6,0.95,15566,47022.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,13] Endow CHEM",27589.0601166667,25926.65,22519.5375986794,11936.9,0.95,10635.3,47214.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,13] Disting CHEM",38541.2119066667,36724,35704.2108176441,11866.4,0.95,18703.4,62274.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,14] Assis CMCL",4509.46266693333,3288.49,2023.92462620293,6623.8,0.95,604.65,11934.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,14] Assoc CMCL",6923.32114666667,6596.975,5956.02497557385,13139,0.95,3652.72,10845.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,14] Full CMCL",20989.5608246667,19294,16610.9810420455,12156.5,0.95,8056.96,38530.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,14] Endow CMCL",13533.4810792933,10159.5,4042.69672309599,15000,0.95,8.7294,37017.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,14] Disting CMCL",13542.09294952,10193.35,3536.48117887701,15000,0.95,8.7294,37093.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,15] Assis CMLT",7207.6939086,5297.3,2838.17960875855,7060.6,0.95,719.893,19363.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,15] Assoc CMLT",5963.78060606667,4229.155,2013.07618853007,7318.1,0.95,439.453,16863.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,15] Full CMLT",15966.598444,14663.6,12655.1204394062,12546.6,0.95,5151.34,29318.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,15] Endow CMLT",13459.6965996133,10244,3832.45332371313,15000,0.95,8.7294,37090.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,15] Disting CMLT",13657.04753146,10286,4008.56967263216,15000,0.95,8.7294,37015.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,16] Assis CRIN",3019.54721213333,2646.785,2154.89929128641,7578.6,0.95,961.409,6078.28,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,16] Assoc CRIN",4123.67442293333,3810.875,3481.76025722323,11666.4,0.95,1566.65,7294.18,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,16] Full CRIN",8146.20111,7572.555,6311.05039998597,11578.3,0.95,3176.45,14169.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,16] Endow CRIN",9797.217655,7754.18,4931.83849751001,7750.9,0.95,1451.24,24127.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,16] Disting CRIN",13410.11379648,10063.1,4082.53631400662,13870,0.95,8.7294,36972,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,17] Assis CSCI",2771.19180146667,2520.245,2096.37260247593,12954.1,0.95,1095.62,4979.72,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,17] Assoc CSCI",12189.356694,11799.25,11235.3793096486,11256.3,0.95,6194.04,18592,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,17] Full CSCI",16622.12391,15906.35,15105.6506165562,11338.6,0.95,8162.23,26277.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,17] Endow CSCI",13515.030922134,10207.2,4592.33166166123,15000,0.95,8.7294,37015.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,17] Disting CSCI",13458.4459144267,10174.5,4167.88903028039,14196.2,0.95,19.3989,36605.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,18] Assis EALC",4707.85822666667,4264.295,3521.44999394205,11855.8,0.95,1718.96,8878.02,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,18] Assoc EALC",4678.41170593333,3942.425,3016.03623129417,9793.6,0.95,1122.55,10147.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,18] Full EALC",14085.4516806667,12869.25,10772.0428873458,11438.2,0.95,4328.18,26162.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,18] Endow EALC",13546.9036278693,10125.7,3946.25419747679,14223.6,0.95,8.7294,37147.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,18] Disting EALC",13613.59620688,10351.6,3970.41339425403,15000,0.95,8.7294,36833,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,19] Assis ECON",8059.11807466667,7287.615,6300.53200419269,8151.7,0.95,3247.77,14491.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,19] Assoc ECON",24509.731028,22617,19577.1547120247,5987.8,0.95,6238.81,45858.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,19] Full ECON",36014.7523466667,34713.1,32050.8804777626,10059.4,0.95,19796.2,54127.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,19] Endow ECON",32575.4919813333,30357.75,26167.1516668264,8992.6,0.95,10205.4,60409,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,19] Disting ECON",13485.07153052,10105.15,4235.38852263305,15000,0.95,8.9366,36753,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,20] Assis ELPS",6607.65498553333,5350.175,3741.68329247369,8973.5,0.95,1398.96,15274.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,20] Assoc ELPS",14110.324038,13472.1,12330.9932469396,13302.3,0.95,7040.3,22418,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,20] Full ELPS",28117.43609,26433.5,24447.8548403316,10190.4,0.95,10738.1,49241.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,20] Endow ELPS",13456.2828311,10228.75,4191.44314307078,13801.8,0.95,8.7294,36733.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,20] Disting ELPS",13523.2535109133,10283.95,3861.99186521997,15000,0.95,8.7294,36458.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,21] Assis ENG",4243.64460446667,3805.655,3107.19804502682,10273.7,0.95,1339.29,8299.58,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,21] Assoc ENG",7174.83490933333,6956.12,6520.8117104906,9435.4,0.95,3953.39,10596.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,21] Full ENG",14459.8798073333,13924.4,13361.8422423307,12306.4,0.95,7968.39,21601.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,21] Endow ENG",22299.59904,20490.9,16816.6448779077,9731.4,0.95,6545.15,40899.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,21] Disting ENG",13519.1834651067,10365.55,3816.09341706851,15000,0.95,8.7294,36456.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,22] Assis FINH",3884.50202773333,3089.995,2231.50931737368,5308.2,0.95,831.407,9148.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,22] Assoc FINH",7205.544592,6309.61,4873.34989395959,11108.3,0.95,2018.08,14559.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,22] Full FINH",15526.2883119347,13241.3,10763.4568627219,8328.4,0.95,122.592,35596.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,22] Endow FINH",13433.9487954467,10168.1,4055.43695892705,15000,0.95,12.8734,37058.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,22] Disting FINH",13423.3765632073,10108.1,3788.86035985869,15000,0.95,8.7294,37015,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,23] Assis FINS",8923.32092244,6468.685,2719.589491396,7752.8,0.95,8.7294,25412.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,23] Assoc FINS",7897.51182933333,7576.955,7009.43950497203,12393.1,0.95,4280.09,11952.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,23] Full FINS",13546.5650256933,10196.55,4144.69915727334,14483.5,0.95,8.7294,36806.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,23] Endow FINS",11149.4965012933,8807.48,4889.09895447398,7772.8,0.95,8.7294,29335,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,23] Disting FINS",13338.0487838133,10201,3628.33218486426,15000,0.95,8.7294,36373.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,24] Assis FOLK",4619.73870666667,2909.875,1207.31753797894,4632.3,0.95,156.023,14468.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,24] Assoc FOLK",11549.2878506667,10537.75,9348.26075414766,11498.8,0.95,3476.9,21725.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,24] Full FOLK",20209.554126,18500.55,16423.0398637974,11290.2,0.95,7265.63,36551.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,24] Endow FOLK",9004.305524542,6587.485,2550.86471338992,8838.9,0.95,8.7294,25745.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,24] Disting FOLK",13544.06473822,10276.95,3722.85245614685,14542.7,0.95,8.7294,37266.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,25] Assis FRIT",8728.35960786667,7147.4,5062.26696796141,6643.3,0.95,1734.6,20163.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,25] Assoc FRIT",9355.79728466667,8148.995,6534.32592773867,8401.9,0.95,2966.45,18875.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,25] Full FRIT",29323.198474,27910.2,25927.5200418224,11324,0.95,13798.4,47719.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,25] Endow FRIT",13476.48405842,10188.25,4079.00869627287,15000,0.95,8.7294,37067,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,25] Disting FRIT",13433.549954312,10127.85,4049.66789484413,14429.4,0.95,8.7294,37090.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,26] Assis GEOG",6544.0998082,5561.8,4355.59241077664,10451.6,0.95,1767.41,13811.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,26] Assoc GEOG",9918.415751,7386.05,3223.42533043562,7866.6,0.95,8.7294,27384.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,26] Full GEOG",15156.93031,13533.6,10594.9597543408,11957,0.95,4455.86,29578.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,26] Endow GEOG",13311.7010861067,9895.445,3773.22052588091,15000,0.95,8.7294,36872.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,26] Disting GEOG",13426.8957044467,10178.4,3581.7748148939,14625.2,0.95,8.7294,36790.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,27] Assis GEOL",2986.73597946667,2306.475,1618.92055383185,2799,0.95,549.22,7127.52,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,27] Assoc GEOL",4567.36362846667,3339.94,1994.29867090149,5302.3,0.95,661.601,12305.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,27] Full GEOL",21891.02667,21111.2,18845.7797493741,11538.3,0.95,12019.3,32715.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,27] Endow GEOL",25994.3684,23616.15,19101.0450059822,10446.9,0.95,6417.6,50563.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,27] Disting GEOL",13595.693029852,10248.8,3825.02606836087,13820.8,0.95,8.7294,37792.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,28] Assis GERM",13536.0946736733,10273.95,3708.05651539536,15000,0.95,8.7294,37514.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,28] Assoc GERM",9481.08830814333,6932.135,2825.73515621219,8654.6,0.95,8.7294,27010.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,28] Full GERM",12171.2785733333,11399.1,10723.8460851767,12766.8,0.95,5934.35,20591.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,28] Endow GERM",24385.5347376667,22147.5,17704.9473644706,11022.2,0.95,5596.03,48324.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,28] Disting GERM",13495.4944049333,10275.65,4075.13834888403,15000,0.95,8.7294,36601.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,29] Assis HIST",3799.904116,3557.655,3339.08299340931,13056.1,0.95,1806.73,6305.34,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,29] Assoc HIST",13008.7543613333,12542.95,12018.1086782471,11672.9,0.95,7194.76,19602,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,29] Full HIST",16080.0423246667,15427.3,14315.9462270195,13609.6,0.95,8938.28,24203.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,29] Endow HIST",12265.696926,10779.25,8478.0066894273,10350.2,0.95,3158.27,24532.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,29] Disting HIST",13554.8025467133,10226.2,3853.09139090015,15267.2,0.95,8.7294,36825.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,30] Assis INFO",10529.0948393333,9155.645,7067.55521753025,12388.9,0.95,2461.66,21602.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,30] Assoc INFO",11609.5428333333,11006,9991.448918499,13352.2,0.95,5841.06,18596.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,30] Full INFO",16117.0950193333,15230.4,13255.9145234752,12206.1,0.95,6638.8,27468.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,30] Endow INFO",9060.02395160667,6720.605,2422.81242136252,8679.7,0.95,8.7294,25344.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,30] Disting INFO",13552.3450965733,10237.1,4031.07670011852,14919.8,0.95,13.2057,37108.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,31] Assis JOUR",2571.788282,2005.86,1493.01058951568,6898.8,0.95,517.855,6306.34,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,31] Assoc JOUR",8348.31332133333,7511.3,6308.77756008799,10905.6,0.95,2876.45,15876.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,31] Full JOUR",10969.1298913333,9869.815,8185.71144709288,8844.6,0.95,3856.38,20496.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,31] Endow JOUR",13567.970165236,10350.3,3601.77738251504,14580.2,0.95,9.27764,37342.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,31] Disting JOUR",13365.523143924,10129.05,3912.69450945376,15000,0.95,8.7294,36862.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,32] Assis KINE",7704.31889133333,6857.92,5874.40987377233,11085.4,0.95,2386.22,14997.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,32] Assoc KINE",7984.32033553333,7012.245,5417.88600198104,11193.2,0.95,2035.64,16333.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,32] Full KINE",12850.7748833333,11877.4,10909.4774396315,9975.8,0.95,4684.02,23582.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,32] Endow KINE",13529.1857489933,10337.15,3691.65623822128,14158.3,0.95,8.7294,37008.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,32] Disting KINE",13586.76534006,10249.3,3857.4451606453,15000,0.95,12.4089,36854,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,33] Assis LAWS",13512.7324306533,10156.85,3604.31396591233,15000,0.95,8.7294,37516.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,33] Assoc LAWS",1203.53933253333,1100.625,989.25480312466,10604,0.95,514.49,2114.97,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,33] Full LAWS",15565.002522,14860.05,13895.6023123851,8642.6,0.95,8256.96,24529.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,33] Endow LAWS",25593.0640733333,25011.15,24165.427739879,12845.7,0.95,16211.4,35724.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,33] Disting LAWS",20775.8464479333,18527.5,15452.295282557,3644.4,0.95,2210.33,45412.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,34] Assis LGED",2106.31914808667,1282.48,718.681710091642,3998.3,0.95,177.584,6724.96,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,34] Assoc LGED",3789.09288866667,3456.29,2941.13479604921,11085.2,0.95,1442.33,6740.32,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,34] Full LGED",12577.53042442,10300.1,6411.91705131961,5431.3,0.95,10.9442,31627,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,34] Endow LGED",13536.34381474,10302.3,3788.18112569381,15566,0.95,8.7294,37315.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,34] Disting LGED",13539.4809537733,10345,4018.39283698867,15000,0.95,35.0265,37000.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,35] Assis LING",9242.61357272667,6748.15,2854.36982433496,7505.2,0.95,14.1369,26250.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,35] Assoc LING",7458.6104242,5618.3,3472.14730847225,6953.4,0.95,834.905,19379.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,35] Full LING",23580.9183393333,22274.1,20930.2834025928,11394.8,0.95,9785.44,39652.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,35] Endow LING",13553.0929176173,10331.3,4298.97922385256,15000,0.95,8.7294,37064.8,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,35] Disting LING",13359.5830381733,10260.75,4176.335589768,14535.5,0.95,8.7294,36041.4,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,36] Assis MATH",3625.32188986667,2935.405,2239.81290485907,4948.4,0.95,743.295,8202.92,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,36] Assoc MATH",12489.5747606667,11830.9,10461.9297842057,13455.6,0.95,6154,20434.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,36] Full MATH",14387.8524613333,14101.1,13692.891587117,10925.4,0.95,9692.16,19949.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,36] Endow MATH",34254.5194986667,31994.5,28254.6201953964,11389.7,0.95,10525.5,62918.2,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,36] Disting MATH",16831.4068265133,14603,12029.8513448242,6276.5,0.95,8.7294,37747.6,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,37] Assis MGMT",7012.23497533333,5974.5,4739.56090414193,5595.2,0.95,2054.84,14554.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,37] Assoc MGMT",3887.64685786667,2371.69,1287.09374488963,3316.3,0.95,327.666,12429,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,37] Full MGMT",13513.664887378,10103.25,4479.90393819859,15000,0.95,8.7294,37035.3,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,37] Endow MGMT",20906.5233993333,19385.2,16597.8891977936,12084.3,0.95,8293.18,37247.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,37] Disting MGMT",13574.30607852,10373.5,3695.73358756641,14328,0.95,8.7294,36667.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,38] Assis MKTG",2105.22852151333,1210.115,643.131498734039,2521.7,0.95,140.01,6818.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,38] Assoc MKTG",12589.2173073333,11628.05,10351.7289114901,8510.3,0.95,5128.84,22438.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[3,38] Full MKTG",26730.2840713333,24321,20540.1587576338,10466.8,0.95,7264.61,52294.7,NA,NA,NA,NA,NA,NA,NA
"ySigma[4,38] Endow MKTG",17054.31157,15312.45,13485.8084342228,10423.5,0.95,5699.02,32678.9,NA,NA,NA,NA,NA,NA,NA
"ySigma[5,38] Disting MKTG",13509.9174669267,10150.6,3853.34145765973,15392.1,0.95,8.7294,37182.1,NA,NA,NA,NA,NA,NA,NA
"ySigma[1,39] Assis MUHI",9089.2008696,6584.855,2750.68644188361,8543,0.95,8.7294,25952.5,NA,NA,NA,NA,NA,NA,NA
"ySigma[2,39] Assoc MUHI",7970.51331666667,6956.335,5708.8290151167,9322.2,0.95,2560.98,16250.8,NA,NA,NA,NA,NA,NA,NA
