"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[3,2] Full AFRO",108087.511666667,108275,108466.97700616,14297,0.95,95256.2,119214,NA,NA,NA,NA,NA,NA,NA
"m[4,2] Endow AFRO",132846.42264,132807.5,133727.28952234,10362.1,0.95,115645,150564,NA,NA,NA,NA,NA,NA,NA
"m[5,2] Disting AFRO",159765.165933333,159993,160218.541328033,4105,0.95,138317,181531,NA,NA,NA,NA,NA,NA,NA
"m[1,3] Assis AMST",63133.8790466667,63106.55,63159.840840818,6190.4,0.95,56768.7,69580.4,NA,NA,NA,NA,NA,NA,NA
"m[2,3] Assoc AMST",75771.50486,75767.95,75836.9688131069,15000,0.95,73144.2,78348.7,NA,NA,NA,NA,NA,NA,NA
"m[3,3] Full AMST",103774.83636,103747,104272.478466048,2984.3,0.95,90157.2,118227,NA,NA,NA,NA,NA,NA,NA
"m[4,3] Endow AMST",128554.07448,128542,128374.085854737,3146.8,0.95,113542,143209,NA,NA,NA,NA,NA,NA,NA
"m[5,3] Disting AMST",155398.0832,155613,154531.58115221,2584,0.95,135892,175023,NA,NA,NA,NA,NA,NA,NA
"m[1,4] Assis ANTH",64616.8458466667,64992.3,63811.0589414201,4616.3,0.95,51666.2,76245,NA,NA,NA,NA,NA,NA,NA
"m[2,4] Assoc ANTH",75507.1027666667,75468.1,75356.0348153393,14178.6,0.95,72060.7,79205.6,NA,NA,NA,NA,NA,NA,NA
"m[3,4] Full ANTH",99640.4535666667,99402.95,97781.486496958,6699.2,0.95,89665.3,109862,NA,NA,NA,NA,NA,NA,NA
"m[4,4] Endow ANTH",123963.9184,123135.5,117311.387369098,5107.4,0.95,112117,138336,NA,NA,NA,NA,NA,NA,NA
"m[5,4] Disting ANTH",153511.3496,153721,155558.522730146,3038.6,0.95,133175,172809,NA,NA,NA,NA,NA,NA,NA
"m[1,5] Assis APHS",74324.60858,74219.7,74002.2118109094,12564.9,0.95,72081.6,76889.1,NA,NA,NA,NA,NA,NA,NA
"m[2,5] Assoc APHS",91509.15384,91453.9,91150.5924987817,9401.2,0.95,87116.2,95906.5,NA,NA,NA,NA,NA,NA,NA
"m[3,5] Full APHS",120309.137653333,120199,120769.349758339,2548.1,0.95,106785,133055,NA,NA,NA,NA,NA,NA,NA
"m[4,5] Endow APHS",142833.467266667,142698,141791.512699075,3079.7,0.95,128087,157680,NA,NA,NA,NA,NA,NA,NA
"m[5,5] Disting APHS",169689.238533333,169942,170919.170023182,2639.5,0.95,149877,188705,NA,NA,NA,NA,NA,NA,NA
"m[1,6] Assis AST",69242.16096,68944.8,68724.0731652961,3936.7,0.95,57778.8,80562.6,NA,NA,NA,NA,NA,NA,NA
"m[2,6] Assoc AST",79769.07424,79095.85,79055.4898011566,5779.6,0.95,73993.4,87928.8,NA,NA,NA,NA,NA,NA,NA
"m[3,6] Full AST",110460.973813333,110398,110483.879137147,3587.6,0.95,96886.5,123219,NA,NA,NA,NA,NA,NA,NA
"m[4,6] Endow AST",135755.52486,135485.5,134237.178546963,3069.7,0.95,120379,152391,NA,NA,NA,NA,NA,NA,NA
"m[5,6] Disting AST",161375.2638,161529,161764.222014834,2674.5,0.95,141226,182028,NA,NA,NA,NA,NA,NA,NA
"m[1,7] Assis BEPP",128367.635133333,128400,128402.780578603,326.1,0.95,128233,128570,NA,NA,NA,NA,NA,NA,NA
"m[2,7] Assoc BEPP",142384.278866667,142702.5,143030.10989388,93.5,0.95,132464,151862,NA,NA,NA,NA,NA,NA,NA
"m[3,7] Full BEPP",167848.516133333,167938,167569.381160932,44.7,0.95,152426,183756,NA,NA,NA,NA,NA,NA,NA
"m[4,7] Endow BEPP",193238.704133333,193341,192945.00311065,75.6,0.95,177533,208786,NA,NA,NA,NA,NA,NA,NA
"m[5,7] Disting BEPP",219481.004533333,220054,220803.947229744,199.7,0.95,198629,239836,NA,NA,NA,NA,NA,NA,NA
"m[1,8] Assis BFIN",197359.278866667,197400,196854.737208922,15000,0.95,190817,203997,NA,NA,NA,NA,NA,NA,NA
"m[2,8] Assoc BFIN",214238.839133333,214544.5,215949.269854979,9165.7,0.95,205381,222860,NA,NA,NA,NA,NA,NA,NA
"m[3,8] Full BFIN",237511.875066667,237592,237331.313182141,9873.4,0.95,223235,251747,NA,NA,NA,NA,NA,NA,NA
"m[4,8] Endow BFIN",259076.1866,258999.5,257419.574950535,8675.3,0.95,245191,273235,NA,NA,NA,NA,NA,NA,NA
"m[5,8] Disting BFIN",288659.1784,289006.5,289992.893830653,3108.6,0.95,267829,308096,NA,NA,NA,NA,NA,NA,NA
"m[1,9] Assis BI",76942.7226733333,76932.4,76928.5871901387,15000,0.95,76625.8,77292.4,NA,NA,NA,NA,NA,NA,NA
"m[2,9] Assoc BI",87880.5287933333,87882.55,87679.5889639761,1529.9,0.95,82104.7,93577.7,NA,NA,NA,NA,NA,NA,NA
"m[3,9] Full BI",118718.637413333,118712.5,119119.511940546,587.6,0.95,109721,127205,NA,NA,NA,NA,NA,NA,NA
"m[4,9] Endow BI",139772.6522,138745,135583.832689028,555.3,0.95,129588,152526,NA,NA,NA,NA,NA,NA,NA
"m[5,9] Disting BI",171212.8028,171362.5,173354.628464098,2176.9,0.95,155438,187485,NA,NA,NA,NA,NA,NA,NA
"m[1,10] Assis BLAN",104525.390486667,104902,105691.02720199,10368.9,0.95,93766.7,113944,NA,NA,NA,NA,NA,NA,NA
"m[2,10] Assoc BLAN",114673.265946667,114777,115136.070700783,13177.1,0.95,105404,123399,NA,NA,NA,NA,NA,NA,NA
"m[3,10] Full BLAN",141800.141733333,141815.5,141834.752479472,11776,0.95,130969,152961,NA,NA,NA,NA,NA,NA,NA
"m[4,10] Endow BLAN",163931.2916,163233,156485.873957145,8382.5,0.95,151777,179070,NA,NA,NA,NA,NA,NA,NA
"m[5,10] Disting BLAN",193518.0202,193708.5,194998.870718238,3768.4,0.95,172861,213184,NA,NA,NA,NA,NA,NA,NA
"m[1,11] Assis CEDP",66724.6422533333,66702,66636.258443357,12580.2,0.95,61191.1,72569.6,NA,NA,NA,NA,NA,NA,NA
"m[2,11] Assoc CEDP",75983.17666,75918.6,75487.3977345037,15000,0.95,72220.6,79720.1,NA,NA,NA,NA,NA,NA,NA
"m[3,11] Full CEDP",104646.319846667,104615.5,104024.007131519,10634.8,0.95,96747.6,113146,NA,NA,NA,NA,NA,NA,NA
"m[4,11] Endow CEDP",130047.213013333,129905,129363.375585446,6921.4,0.95,115641,144317,NA,NA,NA,NA,NA,NA,NA
"m[5,11] Disting CEDP",156979.292733333,157326,158898.665349099,3683,0.95,137309,175860,NA,NA,NA,NA,NA,NA,NA
